Taxa	Coverage-Of-All-Bams	Bams(A list of bams of the taxon, seperated by the delimiter of Tab)
HRV-L1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/HRV-L1.chr001.bam
HUN-L1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/HUN-L1.chr001.bam
LLX	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/LLX.chr001.bam
LTT	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/LTT.chr001.bam
LZT	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/LZT.chr001.bam
URY-L1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/URY-L1.chr001.bam
URY-L2	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/URY-L2.chr001.bam
USA-C1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/USA-C1.chr001.bam
UZB-C1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/UZB-C1.chr001.bam
UZB-L1	10	/Users/feilu/Documents/analysisL/pipelineTest/fastCall2/source/bam/UZB-L1.chr001.bam
